source,processing,spectrum_unit,detected_peak_count,matched_peak_count,primary_attention_match_count,sideband_hit_count,diagnostic_summary
timesignal.uff,velocity_native,mm/s,13,12,2,21,"13 significant peak(s), 12 table match(es), 21 sideband hit(s)."
timesignal (1).uff,velocity_from_acceleration,mm/s,1,0,0,0,"1 significant peak(s), 0 table match(es), 0 sideband hit(s)."
timesignal (2).uff,acceleration,m/s²,13,2,0,0,"13 significant peak(s), 2 table match(es), 0 sideband hit(s)."
timesignal (3).uff,envelope,m/s²,16,15,12,15,"16 significant peak(s), 15 table match(es), 15 sideband hit(s)."
timesignal (4).uff,envelope,m/s²,16,16,14,6,"16 significant peak(s), 16 table match(es), 6 sideband hit(s)."
timesignal (5).uff,velocity_native,mm/s,9,8,0,18,"9 significant peak(s), 8 table match(es), 18 sideband hit(s)."
timesignal (6).uff,velocity_from_acceleration,mm/s,1,0,0,0,"1 significant peak(s), 0 table match(es), 0 sideband hit(s)."
timesignal (7).uff,acceleration,m/s²,5,4,3,8,"5 significant peak(s), 4 table match(es), 8 sideband hit(s)."
timesignal (8).uff,envelope,m/s²,14,12,6,40,"14 significant peak(s), 12 table match(es), 40 sideband hit(s)."
timesignal (9).uff,envelope,m/s²,18,15,8,52,"18 significant peak(s), 15 table match(es), 52 sideband hit(s)."
timesignal (10).uff,velocity_native,mm/s,24,19,6,70,"24 significant peak(s), 19 table match(es), 70 sideband hit(s)."
timesignal (11).uff,velocity_from_acceleration,mm/s,6,5,2,2,"6 significant peak(s), 5 table match(es), 2 sideband hit(s)."
timesignal (12).uff,acceleration,m/s²,8,2,2,0,"8 significant peak(s), 2 table match(es), 0 sideband hit(s)."
timesignal (13).uff,envelope,m/s²,25,21,12,99,"25 significant peak(s), 21 table match(es), 99 sideband hit(s)."
timesignal (14).uff,envelope,m/s²,28,23,14,115,"28 significant peak(s), 23 table match(es), 115 sideband hit(s)."
timesignal (15).uff,velocity_native,mm/s,13,13,3,35,"13 significant peak(s), 13 table match(es), 35 sideband hit(s)."
timesignal (16).uff,velocity_from_acceleration,mm/s,3,2,0,0,"3 significant peak(s), 2 table match(es), 0 sideband hit(s)."
timesignal (17).uff,acceleration,m/s²,6,1,1,0,"6 significant peak(s), 1 table match(es), 0 sideband hit(s)."
timesignal (18).uff,envelope,m/s²,24,21,11,103,"24 significant peak(s), 21 table match(es), 103 sideband hit(s)."
timesignal (19).uff,envelope,m/s²,24,22,12,107,"24 significant peak(s), 22 table match(es), 107 sideband hit(s)."
timesignal (20).uff,velocity_from_acceleration,mm/s,5,3,0,6,"5 significant peak(s), 3 table match(es), 6 sideband hit(s)."
timesignal (21).uff,velocity_from_acceleration,mm/s,7,6,0,14,"7 significant peak(s), 6 table match(es), 14 sideband hit(s)."
timesignal (22).uff,acceleration,m/s²,26,12,8,44,"26 significant peak(s), 12 table match(es), 44 sideband hit(s)."
timesignal (23).uff,envelope,m/s²,8,8,6,0,"8 significant peak(s), 8 table match(es), 0 sideband hit(s)."
timesignal (24).uff,envelope,m/s²,11,11,9,4,"11 significant peak(s), 11 table match(es), 4 sideband hit(s)."
timesignal (25).uff,velocity_from_acceleration,mm/s,4,3,0,0,"4 significant peak(s), 3 table match(es), 0 sideband hit(s)."
timesignal (26).uff,velocity_from_acceleration,mm/s,2,1,0,0,"2 significant peak(s), 1 table match(es), 0 sideband hit(s)."
timesignal (27).uff,velocity_from_acceleration,mm/s,1,0,0,0,"1 significant peak(s), 0 table match(es), 0 sideband hit(s)."
timesignal (28).uff,acceleration,m/s²,8,4,4,8,"8 significant peak(s), 4 table match(es), 8 sideband hit(s)."
timesignal (29).uff,envelope,m/s²,18,15,7,59,"18 significant peak(s), 15 table match(es), 59 sideband hit(s)."
timesignal (30).uff,envelope,m/s²,19,15,7,53,"19 significant peak(s), 15 table match(es), 53 sideband hit(s)."
timesignal (31).uff,velocity_from_acceleration,mm/s,5,3,3,6,"5 significant peak(s), 3 table match(es), 6 sideband hit(s)."
timesignal (32).uff,velocity_from_acceleration,mm/s,5,5,0,0,"5 significant peak(s), 5 table match(es), 0 sideband hit(s)."
timesignal (33).uff,velocity_from_acceleration,mm/s,5,4,0,0,"5 significant peak(s), 4 table match(es), 0 sideband hit(s)."
timesignal (34).uff,acceleration,m/s²,5,4,4,0,"5 significant peak(s), 4 table match(es), 0 sideband hit(s)."
timesignal (35).uff,envelope,m/s²,19,18,9,68,"19 significant peak(s), 18 table match(es), 68 sideband hit(s)."
timesignal (36).uff,envelope,m/s²,8,8,3,18,"8 significant peak(s), 8 table match(es), 18 sideband hit(s)."
