source,center_frequency_hz,sideband_frequency_hz,side,order,detected_spacing_hz,theoretical_spacing_hz,spacing_difference_hz,spacing_identified
timesignal.uff,4.99970764,1.87489037,lower,3,1.04160576,0.92,0.121605759,Output shaft bearing 250 Cage FTF/Cage
timesignal.uff,4.99970764,1.87489037,lower,4,0.781204319,0.92,0.138795681,Output shaft bearing 250 Cage FTF/Cage
timesignal.uff,55.6217475,4.99970764,lower,1,50.6220399,50.23,0.392039876,2nd shaft bearing 350 OR BPFO/Outer race
timesignal.uff,55.6217475,258.109907,upper,4,50.6220399,50.23,0.392039876,2nd shaft bearing 350 OR BPFO/Outer race
timesignal.uff,125.305173,111.243495,lower,2,7.03083887,6.93,0.100838872,Input shaft bearing 151 Cage FTF/Cage
timesignal.uff,125.305173,153.116047,upper,4,6.95271844,6.93,0.0227184398,Input shaft bearing 151 Cage FTF/Cage
timesignal.uff,153.116047,225.611807,upper,3,24.1652536,23.98,0.185253603,Output shaft bearing 250/251 OR BPFO/Outer race
timesignal.uff,153.116047,249.985382,upper,4,24.2173339,23.98,0.237333891,Output shaft bearing 250/251 OR BPFO/Outer race
timesignal.uff,225.611807,241.860857,upper,2,8.12452492,8.11,0.0145249184,2nd shaft Shaft rotation
timesignal.uff,225.611807,249.985382,upper,3,8.12452492,8.11,0.0145249184,2nd shaft Shaft rotation
timesignal.uff,225.611807,258.109907,upper,4,8.12452492,8.11,0.0145249184,2nd shaft Shaft rotation
timesignal.uff,241.860857,249.985382,upper,1,8.12452492,8.11,0.0145249184,2nd shaft Shaft rotation
timesignal.uff,241.860857,225.611807,lower,2,8.12452492,8.11,0.0145249184,2nd shaft Shaft rotation
timesignal.uff,241.860857,258.109907,upper,2,8.12452492,8.11,0.0145249184,2nd shaft Shaft rotation
timesignal.uff,249.985382,241.860857,lower,3,2.70817497,2.05,0.658174973,Output shaft Shaft rotation
timesignal.uff,249.985382,258.109907,upper,3,2.70817497,2.05,0.658174973,Output shaft Shaft rotation
timesignal.uff,249.985382,241.860857,lower,4,2.03113123,2.05,0.0188687704,Output shaft Shaft rotation
timesignal.uff,249.985382,258.109907,upper,4,2.03113123,2.05,0.0188687704,Output shaft Shaft rotation
timesignal.uff,258.109907,249.985382,lower,1,8.12452492,8.11,0.0145249184,2nd shaft Shaft rotation
timesignal.uff,258.109907,241.860857,lower,2,8.12452492,8.11,0.0145249184,2nd shaft Shaft rotation
timesignal.uff,258.109907,225.611807,lower,4,8.12452492,8.11,0.0145249184,2nd shaft Shaft rotation
timesignal (3).uff,8.09803056,80.5804028,upper,3,24.1607908,23.98,0.180790762,Output shaft bearing 250/251 OR BPFO/Outer race
timesignal (3).uff,8.09803056,104.97447,upper,4,24.2191099,23.98,0.239109912,Output shaft bearing 250/251 OR BPFO/Outer race
timesignal (3).uff,32.4920979,80.5804028,upper,2,24.0441525,23.98,0.0641524621,Output shaft bearing 250/251 OR BPFO/Outer race
timesignal (3).uff,32.4920979,104.97447,upper,3,24.1607908,23.98,0.180790762,Output shaft bearing 250/251 OR BPFO/Outer race
timesignal (3).uff,80.5804028,88.6784334,upper,1,8.09803056,8.11,0.011969441,2nd shaft Shaft rotation
timesignal (3).uff,80.5804028,104.97447,upper,3,8.13135579,8.11,0.0213557876,2nd shaft Shaft rotation
timesignal (3).uff,80.5804028,48.0883049,lower,4,8.12302448,8.11,0.0130244804,2nd shaft Shaft rotation
timesignal (3).uff,88.6784334,80.5804028,lower,1,8.09803056,8.11,0.011969441,2nd shaft Shaft rotation
timesignal (3).uff,88.6784334,104.97447,upper,2,8.1480184,8.11,0.0380184019,2nd shaft Shaft rotation
timesignal (3).uff,877.686547,752.317036,lower,4,31.3423775,33,1.65762247,Input/Motor shaft Wobbling
timesignal (3).uff,877.686547,1003.05606,upper,4,31.3423775,33,1.65762247,Input/Motor shaft Wobbling
timesignal (3).uff,1003.05606,877.686547,lower,4,31.3423775,33,1.65762247,Input/Motor shaft Wobbling
timesignal (3).uff,1003.05606,1128.42557,upper,4,31.3423775,33,1.65762247,Input/Motor shaft Wobbling
timesignal (3).uff,1128.42557,1003.05606,lower,4,31.3423775,33,1.65762247,Input/Motor shaft Wobbling
timesignal (3).uff,1128.42557,1253.89505,upper,4,31.3673715,33,1.63262854,Input/Motor shaft Wobbling
timesignal (4).uff,877.886498,752.417012,lower,4,31.3673715,33,1.63262854,Input/Motor shaft Wobbling
timesignal (4).uff,877.886498,1003.25601,upper,4,31.3423775,33,1.65762247,Input/Motor shaft Wobbling
timesignal (4).uff,1003.25601,877.886498,lower,4,31.3423775,33,1.65762247,Input/Motor shaft Wobbling
timesignal (4).uff,1003.25601,1128.62552,upper,4,31.3423775,33,1.65762247,Input/Motor shaft Wobbling
timesignal (4).uff,1128.62552,1003.25601,lower,4,31.3423775,33,1.65762247,Input/Motor shaft Wobbling
timesignal (4).uff,1128.62552,1254.095,upper,4,31.3673715,33,1.63262854,Input/Motor shaft Wobbling
timesignal (5).uff,111.243495,177.489621,upper,2,33.1230631,33,0.123063129,Input/Motor shaft Wobbling
timesignal (5).uff,111.243495,241.860857,upper,4,32.6543405,33,0.345659463,Input/Motor shaft Wobbling
timesignal (5).uff,177.489621,225.611807,upper,3,16.0407287,16.5,0.459271315,Input/Motor shaft Shaft rotation
timesignal (5).uff,177.489621,111.243495,lower,4,16.5615316,16.5,0.0615315644,Input/Motor shaft Shaft rotation
timesignal (5).uff,177.489621,241.860857,upper,4,16.092809,16.5,0.407191027,Input/Motor shaft Shaft rotation
timesignal (5).uff,225.611807,241.860857,upper,2,8.12452492,8.11,0.0145249184,2nd shaft Shaft rotation
timesignal (5).uff,225.611807,249.985382,upper,3,8.12452492,8.11,0.0145249184,2nd shaft Shaft rotation
timesignal (5).uff,225.611807,258.109907,upper,4,8.12452492,8.11,0.0145249184,2nd shaft Shaft rotation
timesignal (5).uff,241.860857,249.985382,upper,1,8.12452492,8.11,0.0145249184,2nd shaft Shaft rotation
timesignal (5).uff,241.860857,225.611807,lower,2,8.12452492,8.11,0.0145249184,2nd shaft Shaft rotation
timesignal (5).uff,241.860857,258.109907,upper,2,8.12452492,8.11,0.0145249184,2nd shaft Shaft rotation
timesignal (5).uff,249.985382,241.860857,lower,3,2.70817497,2.05,0.658174973,Output shaft Shaft rotation
