category,figure,source,processing,sample_count,sample_rate_hz,signal_rms,spectrum_unit,peak_frequency_hz,peak_rms_amplitude
generic,,timesignal.uff,native,26216,8192.02097,13.7825258,mm/s,1.87489037,7.87487742
generic,,timesignal (1).uff,native,32768,2048.00105,10.0076879,m/s²,555.687785,3.05982537
generic,,timesignal (2).uff,native,32768,32767.9765,35.2808188,m/s²,3133.99775,6.0821888
generic,,timesignal (3).uff,native,32768,3276.00328,12.8752798,m/s²,125.36951,7.12394758
generic,,timesignal (4).uff,native,32768,3276.00328,12.3725011,m/s²,125.36951,6.64092724
generic,,timesignal (5).uff,native,26216,8192.02097,16.3598986,mm/s,1.87489037,13.787151
generic,,timesignal (6).uff,native,32768,2048.00105,11.2587265,m/s²,556.000285,4.49432034
generic,,timesignal (7).uff,native,32768,32767.9765,32.3667191,m/s²,555.999601,6.24949526
generic,,timesignal (8).uff,native,32768,3276.00328,12.3953948,m/s²,8.09803056,2.55853111
generic,,timesignal (9).uff,native,32768,3276.00328,10.7724279,m/s²,80.5804028,2.25035964
generic,,timesignal (10).uff,native,26216,8192.02097,10.3592841,mm/s,1.87489037,5.538698
generic,,timesignal (11).uff,native,32768,2048.00105,7.50502689,m/s²,153.250078,2.16543001
generic,,timesignal (12).uff,native,32768,32767.9765,29.5431967,m/s²,6474.99536,2.93823998
generic,,timesignal (13).uff,native,32768,3276.00328,13.3607129,m/s²,80.5804028,3.38701839
generic,,timesignal (14).uff,native,32768,3276.00328,12.4507228,m/s²,80.5804028,3.21436659
generic,,timesignal (15).uff,native,26216,8192.02097,20.8685454,mm/s,1.87489037,12.7331637
generic,,timesignal (16).uff,native,32768,2048.00105,7.19873804,m/s²,153.312578,2.34914544
generic,,timesignal (17).uff,native,32768,32767.9765,34.9457701,m/s²,6733.99517,3.40869548
generic,,timesignal (18).uff,native,32768,3276.00328,18.2896899,m/s²,80.6803785,4.9687426
generic,,timesignal (19).uff,native,32768,3276.00328,18.3301793,m/s²,80.6803785,4.67636245
generic,,timesignal (20).uff,native,32768,2048.00105,10.2976591,m/s²,555.562784,3.39943037
generic,,timesignal (21).uff,native,16384,1023.99948,6.16920366,m/s²,249.812372,2.05873224
generic,,timesignal (22).uff,native,32768,32767.9765,24.7714214,m/s²,2005.99856,6.57932461
generic,,timesignal (23).uff,native,32768,3276.00328,8.56194977,m/s²,125.36951,3.83982051
generic,,timesignal (24).uff,native,32768,3276.00328,3.33856794,m/s²,125.36951,1.17327595
generic,,timesignal (25).uff,native,32768,2048.00105,6.40895468,m/s²,125.562564,3.47138195
generic,,timesignal (26).uff,native,32768,2048.00105,17.7895696,m/s²,556.375285,5.64400035
generic,,timesignal (27).uff,native,16384,1023.99948,12.0934632,m/s²,250.124872,4.52193268
generic,,timesignal (28).uff,native,32768,32767.9765,39.8358848,m/s²,555.999601,6.28671269
generic,,timesignal (29).uff,native,32768,3276.00328,17.4614435,m/s²,32.4920979,2.94683918
generic,,timesignal (30).uff,native,32768,3276.00328,16.2834594,m/s²,32.4920979,2.35366056
generic,,timesignal (31).uff,native,32768,2048.00105,8.06586066,m/s²,32.5000166,2.04648501
generic,,timesignal (32).uff,native,32768,2048.00105,6.44568278,m/s²,233.81262,1.49070862
generic,,timesignal (33).uff,native,16384,1023.99948,4.81468535,m/s²,233.93738,1.78731004
generic,,timesignal (34).uff,native,32768,32767.9765,17.2286508,m/s²,556.999601,2.0942069
generic,,timesignal (35).uff,native,32768,3276.00328,6.0788382,m/s²,8.09803056,1.46184321
generic,,timesignal (36).uff,native,32768,2048.00105,3.88742927,m/s²,8.12500416,0.842820218
generic,,timesignal (37).uff,native,32768,2048.00105,13.2737941,m/s²,556.750285,5.03376242
generic,,timesignal (38).uff,native,16384,1023.99948,7.67880537,m/s²,322.812335,2.29184657
generic,,timesignal (39).uff,native,32768,32767.9765,29.553958,m/s²,556.999601,5.25373492
generic,,timesignal (40).uff,native,32768,3276.00328,11.0007499,m/s²,8.09803056,2.92306451
generic,,timesignal (41).uff,native,32768,2048.00105,6.83370342,m/s²,8.12500416,2.07245268
generic,,timesignal (42).uff,native,32768,2048.00105,6.05620544,m/s²,557.500285,2.11040002
generic,,timesignal (43).uff,native,16384,1023.99948,3.7507128,m/s²,111.562443,1.55101954
generic,,timesignal (44).uff,native,32768,32767.9765,14.174303,m/s²,556.999601,2.54814644
generic,,timesignal (45).uff,native,32768,3276.00328,4.52514484,m/s²,8.09803056,0.839911689
generic,,timesignal (46).uff,native,32768,2048.00105,2.96497998,m/s²,8.12500416,0.616955456
generic,,timesignal (47).uff,native,32768,2048.00105,8.03420698,m/s²,557.625286,1.81564729
generic,,timesignal (48).uff,native,16384,1023.99948,4.54794542,m/s²,250.562372,1.54008555
generic,,timesignal (49).uff,native,32768,32767.9765,38.7903746,m/s²,5549.99602,3.15338489
generic,,timesignal (50).uff,native,32768,3276.00328,19.0173521,m/s²,8.09803056,5.35615635
generic,,timesignal (51).uff,native,32768,2048.00105,10.5037345,m/s²,8.12500416,3.47613908
generic,,timesignal (52).uff,native,32768,2048.00105,8.15532476,m/s²,484.500248,2.64992178
generic,,timesignal (53).uff,native,16384,1023.99948,5.16948171,m/s²,322.812335,1.814898
generic,,timesignal (54).uff,native,32768,32767.9765,20.4432329,m/s²,484.999652,2.48781777
generic,,timesignal (55).uff,native,32768,3276.00328,8.92180643,m/s²,8.09803056,2.30847343
generic,,timesignal (56).uff,native,32768,2048.00105,2.23552201,m/s²,8.12500416,0.678374299
reference,18,timesignal (10).uff,velocity_native,26216,8192.02097,10.3592841,mm/s,1.87489037,5.538698
reference,20,timesignal (26).uff,velocity_from_acceleration,32768,2048.00105,17.7895696,mm/s,0.187500096,50.654387
reference,22,timesignal (32).uff,velocity_from_acceleration,32768,2048.00105,6.44568278,mm/s,0.437500224,11.5594192
reference,24,timesignal (4).uff,envelope,32768,3276.00328,12.3725011,m/s²,125.36951,6.64092724
reference,26,timesignal (30).uff,envelope,32768,3276.00328,16.2834594,m/s²,32.4920979,2.35366056
reference,28,timesignal (51).uff,envelope,32768,2048.00105,10.5037345,m/s²,8.12500416,3.47613908
reference,30,timesignal (2).uff,acceleration,32768,32767.9765,35.2808188,m/s²,3133.99775,6.0821888
reference,32,timesignal (28).uff,acceleration,32768,32767.9765,39.8358848,m/s²,555.999601,6.28671269
reference,34,timesignal (49).uff,acceleration,32768,32767.9765,38.7903746,m/s²,5549.99602,3.15338489
spectra_image_reference,Uff.jpg,timesignal.uff,velocity_native,26216,8192.02097,13.7825258,mm/s,1.87489037,7.87487742
spectra_image_reference,Uff(1).jpg,timesignal (1).uff,velocity_from_acceleration,32768,2048.00105,10.0076879,mm/s,0.062500032,344.040369
spectra_image_reference,Uff(2).jpg,timesignal (2).uff,acceleration,32768,32767.9765,35.2808188,m/s²,3133.99775,6.0821888
spectra_image_reference,Uff(3).jpg,timesignal (3).uff,envelope,32768,3276.00328,12.8752798,m/s²,125.36951,7.12394758
spectra_image_reference,Uff(4).jpg,timesignal (4).uff,envelope,32768,3276.00328,12.3725011,m/s²,125.36951,6.64092724
spectra_image_reference,Uff(5).jpg,timesignal (5).uff,velocity_native,26216,8192.02097,16.3598986,mm/s,1.87489037,13.787151
spectra_image_reference,Uff(6).jpg,timesignal (6).uff,velocity_from_acceleration,32768,2048.00105,11.2587265,mm/s,0.062500032,135.882489
spectra_image_reference,Uff(7).jpg,timesignal (7).uff,acceleration,32768,32767.9765,32.3667191,m/s²,555.999601,6.24949526
spectra_image_reference,Uff(8).jpg,timesignal (8).uff,envelope,32768,3276.00328,12.3953948,m/s²,8.09803056,2.55853111
spectra_image_reference,Uff(9).jpg,timesignal (9).uff,envelope,32768,3276.00328,10.7724279,m/s²,80.5804028,2.25035964
spectra_image_reference,Uff(10).jpg,timesignal (10).uff,velocity_native,26216,8192.02097,10.3592841,mm/s,1.87489037,5.538698
